Geo Point;Geo Shape;id;nom_site;adresse;commune;type_structure;implantation;accessibilite;pb_disponibilite_temporaire
43.5850789334, 1.43591944506;"{""type"": ""Point"", ""coordinates"": [1.435919445061078, 43.58507893338048]}";6.0;Salle Jean Mermoz;ALL GABRIEL BIENES;TOULOUSE;salles de réunion;Hall entrée, mur droit;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6163101899, 1.45358740341;"{""type"": ""Point"", ""coordinates"": [1.453587403411558, 43.61631018993953]}";11.0;Espace Bonnefoy;4 RUE DU FAUBOURG BONNEFOY;TOULOUSE;socio culturel;A l'accueil, au dessus de la pointeuse;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6074531881, 1.45508220004;"{""type"": ""Point"", ""coordinates"": [1.45508220004475, 43.60745318814304]}";17.0;Complexe Leo Lagrange;54 RUE DES SEPT TROUBADOURS;TOULOUSE;salles ERP sports;Bâtiment C 3ème étage;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6079210883, 1.4407508907;"{""type"": ""Point"", ""coordinates"": [1.440750890695637, 43.60792108833305]}";20.0;Gymnase Saint-Sernin;1 PL SAINT SERNIN;TOULOUSE;salles ERP sports;Entrée principale sur colonne en brique;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5782848173, 1.38406089103;"{""type"": ""Point"", ""coordinates"": [1.384060891032142, 43.57828481729776]}";25.0;Gymnase des Pradettes;6 RUE FERDINAND DE LESSEPS;TOULOUSE;salles ERP sports;Gymnase, ctre mur vestiaire 3, mur incliné;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6271924076, 1.44028502684;"{""type"": ""Point"", ""coordinates"": [1.440285026842872, 43.62719240762689]}";33.0;Piscine Toulouse Lautrec;36 IMP BARTHE;TOULOUSE;piscine;Piscine;Piscine- Accessibilité: horaires d'ouverture de la piscine;
43.6161425674, 1.40735738902;"{""type"": ""Point"", ""coordinates"": [1.407357389022716, 43.616142567411345]}";35.0;Piscine Jean Boiteux;105 RTE DE BLAGNAC;TOULOUSE;piscine;Bureau MNS;Piscine- Accessibilité: horaires d'ouverture de la piscine;
43.5652252735, 1.44534470355;"{""type"": ""Point"", ""coordinates"": [1.445344703552007, 43.56522527345792]}";37.0;Piscine de Pech David;82 CHE DES COTES DE PECH DAVID;TOULOUSE;piscine;Piscine;Piscine- Accessibilité: horaires d'ouverture de la piscine;
43.6032422071, 1.44733182225;"{""type"": ""Point"", ""coordinates"": [1.447331822248066, 43.60324220713618]}";43.0;Duranti;16 RUE SAINT ANTOINE DU T;TOULOUSE;voie publique;Cercle Duranti, sous le porche;Voie publique - Accessibilité: 24h/24h;
43.6006859687, 1.45172278622;"{""type"": ""Point"", ""coordinates"": [1.451722786217701, 43.60068596873974]}";54.0;METRO FRANCOIS VERDIER;BD LAZARE CARNOT;TOULOUSE;metro;Station de Métro François Verdier (hall billeterie);Métro - Accessibilité: horaires d'ouverture du Métro;
43.5579920446, 1.39796125367;"{""type"": ""Point"", ""coordinates"": [1.397961253666635, 43.55799204463022]}";59.0;Monlong;5 CHE DE PERPIGNAN;TOULOUSE;site municipal;Hall du bureau départ collecte ordures ménagère;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.600749249, 1.44669049456;"{""type"": ""Point"", ""coordinates"": [1.446690494562254, 43.60074924900907]}";63.0;Musée des Augustins;21 RUE DE METZ;TOULOUSE;musées;En bas à gauche de l'escalier de l'accueil;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5667050125, 1.3828921446;"{""type"": ""Point"", ""coordinates"": [1.382892144602309, 43.566705012520366]}";77.0;Cuisine Centrale;1 RUE PAULIN TALABOT;TOULOUSE;site municipal;Local technique entrée;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5963181521, 1.41562277122;"{""type"": ""Point"", ""coordinates"": [1.415622771215911, 43.59631815214]}";78.0;Roquemaurel;12 RUE ROQUEMAUREL;TOULOUSE;site municipal;Hall d'entrée;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6083838429, 1.44457492481;"{""type"": ""Point"", ""coordinates"": [1.444574924808766, 43.60838384285902]}";79.0;Centre culturel Bellegarde;17 RUE BELLEGARDE;TOULOUSE;socio culturel;A l'accueil;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.603570251, 1.43827185705;"{""type"": ""Point"", ""coordinates"": [1.438271857045625, 43.60357025097951]}";87.0;Conservatoire;17 RUE LARREY;TOULOUSE;socio culturel;;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5998742393, 1.45446396955;"{""type"": ""Point"", ""coordinates"": [1.454463969551247, 43.59987423933862]}";2.0;Halle aux Grains;PL DOMINIQUE MARTIN DUPUY;TOULOUSE;salles spectacles;Vestiaire sous 10F;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6045218011, 1.44422272913;"{""type"": ""Point"", ""coordinates"": [1.444222729134832, 43.604521801076785]}";7.0;Hotel de Ville, Administration;PL DU CAPITOLE;TOULOUSE;salles de réunion;Devant les ascenceurs entrée admin;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6251845876, 1.43653720357;"{""type"": ""Point"", ""coordinates"": [1.436537203574638, 43.62518458755454]}";14.0;Stade Arnauné (Minimes);107 AV FREDERIC ESTEBE;TOULOUSE;salles ERP sports;Dans sas du petit gymnase;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5833103204, 1.43398971729;"{""type"": ""Point"", ""coordinates"": [1.433989717294241, 43.58331032035877]}";15.0;Stadium;7 ALL GABRIEL BIENES;TOULOUSE;salles ERP sports;Vestiaires SUD Entrée dte vestiaires garçons;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5652948473, 1.41623019841;"{""type"": ""Point"", ""coordinates"": [1.416230198408562, 43.565294847341164]}";22.0;Gymnase Gironis;35 RUE DE GIRONIS;TOULOUSE;salles ERP sports;Accueil gymnase, couloir entrée;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5775416287, 1.46865215063;"{""type"": ""Point"", ""coordinates"": [1.468652150634194, 43.57754162874135]}";27.0;Stade Struxiano;114 AV DE LESPINET;TOULOUSE;salles ERP sports;A l'entrée à droite dans vestiares des tribunes;Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.5746490805, 1.41795060804;"{""type"": ""Point"", ""coordinates"": [1.41795060804439, 43.57464908046561]}";36.0;Piscine Papus;64 ALL DE GUYENNE;TOULOUSE;piscine;Piscine;Piscine- Accessibilité: horaires d'ouverture de la piscine;
43.6020473065, 1.43930309463;"{""type"": ""Point"", ""coordinates"": [1.439303094629447, 43.602047306520944]}";41.0;DAURADE;2 RUE MALBEC;TOULOUSE;voie publique;face au 2 rue Malbec - face CMS;Voie publique - Accessibilité: 24h/24h;
43.5655918584, 1.40031197566;"{""type"": ""Point"", ""coordinates"": [1.400311975656253, 43.565591858358474]}";49.0;Bellefontaine;61 ALL DE BELLEFONTAINE;TOULOUSE;mairie annexe;Mairie annexe (dans l'armoire du registre de sécurité);Equipements municipaux hors piscine- Accessibilité: horaires d'ouverture du service;
43.6001909144, 1.44392801885;"{""type"": ""Point"", ""coordinates"": [1.443928018847259, 43.600190914388165]}";51.0;METRO ESQUIROL;PL ETIENNE ESQUIROL;TOULOUSE;metro;Station de Métro Esquirol (hall billeterie);Métro - Accessibilité: horaires d'ouverture du Métro;
